payment_method,failure_code,amount,attempt_number,customer_failure_count,merchant_failure_rate,transaction_hour,is_international,previous_success,recovery_probability
NETBANKING,CARD_DECLINED,15008,1,3,0.49,20,0,1,0.17763647867292254
CARD,BANK_TIMEOUT,3114,3,0,0.15,11,1,0,0.6294197432183969
CARD,ACCOUNT_BLOCKED,44782,2,1,0.1,19,1,0,0.01
NETBANKING,GATEWAY_TIMEOUT,15316,4,5,0.13,8,0,1,0.5771209423598883
NETBANKING,INVALID_ACCOUNT,10453,1,3,0.47,18,1,1,0.02903135124601291
CARD,CARD_DECLINED,13155,4,3,0.06,12,1,1,0.12326920436268975
CARD,BANK_TIMEOUT,43237,4,2,0.01,21,0,1,0.6422838899673188
CARD,INSUFFICIENT_FUNDS,39884,3,1,0.32,19,1,0,0.09082481036868985
NETBANKING,BANK_TIMEOUT,20346,4,0,0.29,23,0,0,0.6319627812319326
CARD,INVALID_CARD,11610,2,1,0.4,11,1,0,0.01
CARD,CARD_DECLINED,49026,3,0,0.24,2,0,0,0.18201405968988216
NETBANKING,INVALID_CARD,36624,3,0,0.4,0,1,0,0.01
NETBANKING,CARD_DECLINED,38409,4,5,0.47,3,0,1,0.01
NETBANKING,FRAUD_SUSPECTED,40082,2,5,0.04,14,1,1,0.01
UPI,BANK_TIMEOUT,20046,4,0,0.06,17,0,1,0.6593643756888893
NETBANKING,INVALID_ACCOUNT,27567,2,3,0.33,15,1,1,0.01
CARD,INSUFFICIENT_FUNDS,29157,4,1,0.43,3,1,1,0.02305500891666079
CARD,INSUFFICIENT_FUNDS,8105,4,0,0.33,20,0,0,0.14567945904546165
UPI,GATEWAY_TIMEOUT,37100,2,0,0.42,17,0,0,0.7093052981121059
UPI,FRAUD_SUSPECTED,9770,1,2,0.43,4,0,1,0.03985138235576236
UPI,BANK_TIMEOUT,8737,1,2,0.4,7,1,0,0.6374246201406176
UPI,GATEWAY_TIMEOUT,48709,4,4,0.07,2,1,1,0.5408017039314202
NETBANKING,ACCOUNT_BLOCKED,7246,4,4,0.12,19,0,1,0.01
UPI,BANK_TIMEOUT,31490,4,3,0.35,15,1,0,0.5049266765123535
CARD,ACCOUNT_BLOCKED,9821,1,1,0.14,20,1,1,0.12546277558609237
NETBANKING,CARD_DECLINED,29834,4,0,0.4,3,0,1,0.1251554915965281
UPI,INVALID_CARD,22312,4,3,0.21,3,1,1,0.01
CARD,FRAUD_SUSPECTED,10103,4,0,0.05,2,0,1,0.01
NETBANKING,FRAUD_SUSPECTED,8627,1,4,0.48,17,1,0,0.01
NETBANKING,INVALID_CARD,47355,1,2,0.3,11,0,0,0.01
CARD,INSUFFICIENT_FUNDS,7192,3,4,0.19,8,0,1,0.14551551613283578
NETBANKING,ACCOUNT_BLOCKED,44335,1,4,0.47,22,1,0,0.01
NETBANKING,CARD_DECLINED,22370,3,0,0.1,4,1,0,0.09418746541512685
NETBANKING,BANK_TIMEOUT,6113,2,3,0.22,10,0,1,0.6691637369704218
CARD,ACCOUNT_BLOCKED,39174,1,0,0.09,19,0,0,0.038210284354621905
NETBANKING,INVALID_CARD,31928,4,3,0.14,16,0,1,0.01
CARD,ACCOUNT_BLOCKED,31991,3,0,0.12,19,0,0,0.01
UPI,GATEWAY_TIMEOUT,16845,3,2,0.07,15,1,0,0.5659185701759215
NETBANKING,INSUFFICIENT_FUNDS,32885,3,0,0.2,23,0,1,0.15187415365856455
UPI,FRAUD_SUSPECTED,37832,4,4,0.21,20,1,1,0.01
UPI,FRAUD_SUSPECTED,11363,4,5,0.46,2,1,0,0.01
NETBANKING,INVALID_CARD,34438,1,3,0.44,23,1,0,0.01
UPI,NETWORK_ERROR,33555,1,4,0.26,11,1,0,0.5676268848946724
UPI,CARD_DECLINED,13028,2,4,0.08,20,0,0,0.1671292140579582
NETBANKING,EXPIRED_CARD,30505,4,5,0.46,18,1,1,0.01
UPI,EXPIRED_CARD,29080,3,2,0.3,11,0,1,0.01
UPI,BANK_TIMEOUT,24265,3,0,0.33,2,1,1,0.6650329407411191
NETBANKING,BANK_TIMEOUT,29573,2,2,0.31,16,0,0,0.624052310901509
CARD,NETWORK_ERROR,33166,2,0,0.13,14,1,0,0.6633897959685712
CARD,INVALID_CARD,26889,3,5,0.3,20,1,0,0.01
NETBANKING,INVALID_CARD,18721,3,5,0.43,19,0,1,0.01
NETBANKING,GATEWAY_TIMEOUT,23025,3,5,0.35,12,0,0,0.46595818874159606
CARD,FRAUD_SUSPECTED,8475,1,5,0.34,16,1,0,0.01
UPI,INSUFFICIENT_FUNDS,22495,4,1,0.12,4,0,0,0.05757921016546218
UPI,INVALID_ACCOUNT,35474,1,5,0.18,19,0,1,0.01
UPI,ACCOUNT_BLOCKED,10948,4,0,0.21,21,0,1,0.021059542212581578
NETBANKING,EXPIRED_CARD,15435,2,2,0.48,15,0,1,0.02783068250650924
NETBANKING,EXPIRED_CARD,30356,3,3,0.26,13,0,0,0.04012592241515476
UPI,CARD_DECLINED,3519,4,2,0.28,3,0,1,0.07038751253717897
UPI,CARD_DECLINED,29546,2,3,0.05,7,1,1,0.18804719271262751
CARD,BANK_TIMEOUT,26082,3,1,0.2,2,1,0,0.5428187545528149
UPI,FRAUD_SUSPECTED,9671,2,0,0.15,15,0,1,0.029860147398224665
UPI,NETWORK_ERROR,1345,3,1,0.42,17,1,0,0.6256172632635396
UPI,CARD_DECLINED,8085,1,1,0.22,19,1,0,0.17908578952900153
CARD,ACCOUNT_BLOCKED,35230,1,5,0.26,7,0,1,0.01
NETBANKING,FRAUD_SUSPECTED,15865,4,1,0.34,2,1,0,0.0553403677985515
NETBANKING,INVALID_ACCOUNT,33367,1,3,0.44,1,1,1,0.01
UPI,FRAUD_SUSPECTED,4527,3,1,0.37,20,0,1,0.01
CARD,INVALID_ACCOUNT,22287,2,5,0.24,22,1,0,0.04114976818476065
UPI,EXPIRED_CARD,2523,3,1,0.03,6,0,1,0.06033709799503975
NETBANKING,INVALID_CARD,35688,4,2,0.03,20,0,1,0.01
UPI,FRAUD_SUSPECTED,18005,1,2,0.22,12,1,1,0.01
UPI,EXPIRED_CARD,45455,4,2,0.46,16,1,0,0.03270813243426358
UPI,INVALID_CARD,39582,2,4,0.15,3,0,1,0.026091922145813663
CARD,EXPIRED_CARD,39593,4,1,0.35,11,1,0,0.032681439571110284
CARD,ACCOUNT_BLOCKED,28604,3,5,0.49,1,0,1,0.01
NETBANKING,GATEWAY_TIMEOUT,2140,2,4,0.34,14,0,0,0.5527233363062108
NETBANKING,FRAUD_SUSPECTED,23833,4,4,0.03,4,1,1,0.01
UPI,ACCOUNT_BLOCKED,9123,3,3,0.16,8,0,0,0.01
UPI,EXPIRED_CARD,34030,4,4,0.07,8,1,0,0.05963651121547608
CARD,EXPIRED_CARD,13218,1,1,0.43,14,0,1,0.12672624040230418
NETBANKING,FRAUD_SUSPECTED,43867,3,5,0.04,17,1,1,0.045136205075312595
NETBANKING,GATEWAY_TIMEOUT,23790,2,0,0.49,4,0,1,0.6736284026808266
NETBANKING,ACCOUNT_BLOCKED,24276,4,4,0.07,2,0,1,0.01
NETBANKING,EXPIRED_CARD,34551,4,3,0.41,2,0,1,0.02423385893863813
CARD,EXPIRED_CARD,44671,3,1,0.44,17,0,0,0.01
UPI,NETWORK_ERROR,34054,2,2,0.09,10,0,1,0.7457483136809647
NETBANKING,CARD_DECLINED,5268,3,1,0.32,17,1,0,0.12050223614485905
NETBANKING,INVALID_ACCOUNT,6222,2,4,0.47,4,0,1,0.0442530004113389
NETBANKING,BANK_TIMEOUT,1959,1,0,0.47,18,1,0,0.7496959000916311
CARD,ACCOUNT_BLOCKED,41976,1,3,0.45,17,1,1,0.01
NETBANKING,INVALID_CARD,19592,4,0,0.35,5,1,1,0.01
UPI,FRAUD_SUSPECTED,39858,2,2,0.43,10,1,1,0.01
CARD,INVALID_ACCOUNT,36908,1,2,0.13,3,1,1,0.01
UPI,BANK_TIMEOUT,19119,4,4,0.21,5,1,1,0.497983410122336
UPI,EXPIRED_CARD,33833,4,3,0.44,15,0,0,0.05452328040692373
NETBANKING,EXPIRED_CARD,15876,2,4,0.18,1,1,1,0.019751877101018625
NETBANKING,EXPIRED_CARD,18826,1,0,0.22,8,1,1,0.08459373525175633
CARD,BANK_TIMEOUT,37473,2,2,0.28,2,1,1,0.6784404114707239
CARD,ACCOUNT_BLOCKED,44690,1,1,0.49,12,1,1,0.01678318382721289
CARD,GATEWAY_TIMEOUT,13145,4,4,0.03,1,0,1,0.6073965855194212
NETBANKING,EXPIRED_CARD,9860,2,2,0.47,10,0,1,0.05906157375611402
NETBANKING,CARD_DECLINED,39010,3,4,0.42,17,1,1,0.025489259999803296
UPI,FRAUD_SUSPECTED,21808,1,3,0.3,23,0,1,0.01
NETBANKING,ACCOUNT_BLOCKED,37955,2,5,0.04,15,0,1,0.01
NETBANKING,INSUFFICIENT_FUNDS,2169,1,1,0.02,10,1,0,0.22929601097889266
UPI,INVALID_CARD,32987,4,5,0.37,22,0,0,0.016088677290863933
NETBANKING,EXPIRED_CARD,34537,4,2,0.48,14,1,1,0.027586857655636808
NETBANKING,CARD_DECLINED,40081,4,1,0.48,8,1,0,0.05614855463274614
CARD,CARD_DECLINED,46296,2,5,0.36,10,1,1,0.06004875902362192
NETBANKING,CARD_DECLINED,18960,1,4,0.34,12,1,1,0.21146088633914611
UPI,CARD_DECLINED,2856,3,5,0.05,14,1,1,0.03639868080770073
NETBANKING,CARD_DECLINED,36932,3,1,0.06,23,0,0,0.08907654299574641
NETBANKING,INSUFFICIENT_FUNDS,41908,2,0,0.06,10,1,0,0.202119198658143
UPI,BANK_TIMEOUT,36167,2,3,0.33,15,1,0,0.5925911059408739
CARD,FRAUD_SUSPECTED,18804,1,0,0.33,7,0,0,0.01
UPI,BANK_TIMEOUT,26117,4,1,0.47,9,0,0,0.5228392210662081
NETBANKING,NETWORK_ERROR,22057,3,3,0.49,17,1,0,0.5361059738577997
CARD,CARD_DECLINED,12736,1,2,0.09,14,1,0,0.15240841956184645
CARD,CARD_DECLINED,37310,2,1,0.31,20,1,1,0.18052806589597956
UPI,INVALID_CARD,43960,1,1,0.49,15,1,0,0.01
CARD,INSUFFICIENT_FUNDS,29377,3,2,0.16,23,0,1,0.15936833670701986
NETBANKING,INSUFFICIENT_FUNDS,4171,1,3,0.16,12,1,0,0.17787113251993836
CARD,FRAUD_SUSPECTED,40380,2,1,0.48,15,0,1,0.03477348371508566
NETBANKING,FRAUD_SUSPECTED,27352,4,4,0.4,6,0,0,0.012550665622016765
NETBANKING,FRAUD_SUSPECTED,5218,1,0,0.42,16,0,0,0.01
NETBANKING,EXPIRED_CARD,7717,2,5,0.3,2,1,0,0.01
NETBANKING,INVALID_CARD,30036,1,4,0.24,9,0,1,0.01
UPI,INSUFFICIENT_FUNDS,38000,1,0,0.22,22,0,0,0.2914582798884946
UPI,EXPIRED_CARD,2179,3,3,0.1,4,1,1,0.059285659858087904
CARD,EXPIRED_CARD,24839,4,0,0.34,21,0,1,0.01
NETBANKING,INVALID_CARD,34758,2,5,0.49,0,0,1,0.01
NETBANKING,INVALID_ACCOUNT,27895,4,1,0.13,11,0,1,0.01
NETBANKING,NETWORK_ERROR,2211,4,4,0.39,0,0,0,0.4477290902889495
NETBANKING,BANK_TIMEOUT,29357,1,1,0.37,12,1,0,0.6769759808907427
UPI,GATEWAY_TIMEOUT,33123,3,1,0.41,23,1,1,0.5926904034776721
UPI,INVALID_ACCOUNT,14586,4,2,0.14,17,0,1,0.015585066598371255
UPI,FRAUD_SUSPECTED,42260,4,4,0.17,13,1,0,0.01
UPI,INVALID_ACCOUNT,31132,2,1,0.16,22,0,1,0.06547411738159058
NETBANKING,INVALID_CARD,27396,2,3,0.13,6,1,0,0.05222261045112223
CARD,NETWORK_ERROR,35203,2,0,0.14,21,0,0,0.6748163293932755
NETBANKING,INVALID_ACCOUNT,14322,4,1,0.44,10,1,0,0.01
UPI,NETWORK_ERROR,49047,4,1,0.35,22,0,1,0.6465126459593556
NETBANKING,FRAUD_SUSPECTED,18650,4,3,0.27,11,1,1,0.01
CARD,EXPIRED_CARD,6562,4,2,0.46,11,1,1,0.01
UPI,GATEWAY_TIMEOUT,1162,3,4,0.47,18,1,1,0.5182411410184143
CARD,INSUFFICIENT_FUNDS,24993,2,3,0.28,21,1,1,0.148336062566632
CARD,EXPIRED_CARD,30300,2,5,0.4,5,0,1,0.01
NETBANKING,BANK_TIMEOUT,34437,1,0,0.47,21,0,0,0.7142392222415592
NETBANKING,INSUFFICIENT_FUNDS,4554,2,0,0.12,14,1,0,0.21978352358768027
NETBANKING,ACCOUNT_BLOCKED,31767,4,0,0.01,17,1,0,0.01
NETBANKING,CARD_DECLINED,35210,3,0,0.26,22,1,0,0.07470164286944928
UPI,INVALID_ACCOUNT,9858,2,1,0.31,8,1,1,0.03949363320834668
UPI,FRAUD_SUSPECTED,26709,4,4,0.13,22,0,1,0.028404162547038557
UPI,BANK_TIMEOUT,6227,4,3,0.19,15,0,0,0.5612845150019107
UPI,EXPIRED_CARD,28536,3,4,0.49,3,0,0,0.01
NETBANKING,ACCOUNT_BLOCKED,31262,3,0,0.46,21,1,0,0.01
CARD,BANK_TIMEOUT,13676,2,5,0.41,2,1,0,0.5353958199623764
NETBANKING,INVALID_CARD,44470,3,3,0.38,4,0,1,0.01
CARD,INSUFFICIENT_FUNDS,5081,3,4,0.39,19,1,1,0.013962565894516478
CARD,EXPIRED_CARD,32252,2,2,0.28,12,1,0,0.027969485808815885
NETBANKING,INVALID_CARD,5716,3,1,0.36,2,1,0,0.01
NETBANKING,GATEWAY_TIMEOUT,48574,4,2,0.19,2,0,1,0.5854735864996296
CARD,NETWORK_ERROR,8783,1,1,0.22,17,1,0,0.6706261904013296
CARD,INVALID_ACCOUNT,6199,3,3,0.02,13,1,0,0.03248438440347914
NETBANKING,INSUFFICIENT_FUNDS,37583,2,5,0.2,4,1,1,0.04684067971492102
UPI,NETWORK_ERROR,11058,4,2,0.22,15,0,1,0.5931699737788902
UPI,EXPIRED_CARD,39015,2,3,0.06,9,0,1,0.01
NETBANKING,INVALID_CARD,21696,4,2,0.22,20,0,1,0.01
NETBANKING,INSUFFICIENT_FUNDS,31492,3,1,0.48,10,1,1,0.15877630854836045
UPI,FRAUD_SUSPECTED,24745,3,3,0.19,18,0,0,0.028171263313008767
NETBANKING,BANK_TIMEOUT,47758,4,5,0.11,9,0,1,0.5262977652395541
UPI,CARD_DECLINED,15961,3,5,0.09,13,1,0,0.01
NETBANKING,EXPIRED_CARD,38257,4,4,0.26,22,1,0,0.03907209170492592
CARD,INVALID_ACCOUNT,39016,1,0,0.39,21,1,0,0.024699984798340423
UPI,ACCOUNT_BLOCKED,42372,4,2,0.48,13,0,0,0.01
UPI,INVALID_ACCOUNT,49045,2,3,0.19,14,0,1,0.05977027254146535
CARD,NETWORK_ERROR,19461,4,0,0.07,23,0,1,0.6741890343897542
CARD,INSUFFICIENT_FUNDS,34251,4,2,0.24,14,1,1,0.012717434004145878
UPI,NETWORK_ERROR,1580,3,5,0.06,5,0,0,0.549191028982502
CARD,INVALID_ACCOUNT,28042,4,1,0.4,20,0,0,0.024047887666007815
CARD,INVALID_CARD,2013,2,3,0.3,12,0,0,0.01
NETBANKING,NETWORK_ERROR,37937,1,4,0.1,10,0,1,0.6513954970705162
NETBANKING,EXPIRED_CARD,34684,3,4,0.2,12,0,1,0.01
CARD,ACCOUNT_BLOCKED,11406,3,4,0.3,21,0,1,0.01
CARD,NETWORK_ERROR,12096,3,5,0.08,12,1,0,0.5194806044874415
CARD,GATEWAY_TIMEOUT,31994,2,4,0.09,9,0,0,0.5724580014660844
CARD,ACCOUNT_BLOCKED,3613,3,0,0.25,6,1,1,0.01
CARD,INVALID_CARD,46639,4,3,0.09,18,0,0,0.01
CARD,INSUFFICIENT_FUNDS,35332,3,1,0.39,18,1,0,0.07827140539452929
CARD,INVALID_ACCOUNT,24142,1,5,0.23,6,1,0,0.03359886976336741
NETBANKING,INSUFFICIENT_FUNDS,19610,1,3,0.14,2,1,0,0.19356316498807735
UPI,INSUFFICIENT_FUNDS,48440,3,5,0.31,13,0,0,0.0384849309970585
UPI,BANK_TIMEOUT,37460,3,4,0.15,17,0,1,0.632900015640299
CARD,CARD_DECLINED,37634,3,4,0.49,21,0,0,0.0562771994993792
CARD,BANK_TIMEOUT,18274,2,5,0.43,7,0,1,0.6398481802698632
NETBANKING,INVALID_CARD,32177,2,4,0.32,20,1,1,0.01
NETBANKING,NETWORK_ERROR,26501,3,5,0.47,11,1,1,0.475728928016093
UPI,NETWORK_ERROR,48002,4,5,0.34,11,0,1,0.4577829935015206
CARD,INSUFFICIENT_FUNDS,32521,3,2,0.42,10,0,1,0.1468303653476682
NETBANKING,BANK_TIMEOUT,3110,1,5,0.39,14,0,0,0.6539432875347522
UPI,EXPIRED_CARD,30018,1,3,0.11,22,0,1,0.01
CARD,NETWORK_ERROR,42999,3,2,0.05,21,0,0,0.5946341566932233
CARD,INSUFFICIENT_FUNDS,28230,1,5,0.06,6,1,0,0.04726997920399865
UPI,INVALID_ACCOUNT,44663,4,0,0.01,10,0,1,0.02940310011221107
CARD,NETWORK_ERROR,15104,4,0,0.37,3,0,1,0.6497561689622618
CARD,GATEWAY_TIMEOUT,25182,2,5,0.5,4,0,0,0.5310319239273817
UPI,EXPIRED_CARD,23115,2,5,0.38,13,1,0,0.01
UPI,GATEWAY_TIMEOUT,49412,1,4,0.37,11,1,1,0.6621076661198066
UPI,CARD_DECLINED,42345,1,1,0.28,19,1,0,0.2167892104439959
NETBANKING,CARD_DECLINED,13564,2,5,0.2,20,0,0,0.07948877199432668
UPI,INSUFFICIENT_FUNDS,32840,1,4,0.45,0,1,1,0.08819828807327018
NETBANKING,INVALID_CARD,24047,2,3,0.48,2,0,0,0.01
UPI,BANK_TIMEOUT,4062,4,4,0.15,22,1,1,0.5551810638623517
UPI,INVALID_ACCOUNT,35335,2,2,0.05,2,0,0,0.013639017288945834
CARD,ACCOUNT_BLOCKED,41669,1,2,0.35,23,0,0,0.01
CARD,NETWORK_ERROR,29812,1,2,0.34,21,0,0,0.6272664971559498
UPI,BANK_TIMEOUT,10836,4,2,0.27,23,1,0,0.5201869430891651
NETBANKING,CARD_DECLINED,48133,1,0,0.17,13,1,0,0.19929496508264782
NETBANKING,NETWORK_ERROR,32615,4,4,0.19,15,0,1,0.4967309981101126
UPI,ACCOUNT_BLOCKED,44279,1,1,0.37,0,0,0,0.01
CARD,FRAUD_SUSPECTED,25198,2,1,0.47,1,1,0,0.01
CARD,FRAUD_SUSPECTED,17877,1,4,0.19,16,0,0,0.01
NETBANKING,BANK_TIMEOUT,26375,1,3,0.43,9,1,0,0.6123091395324067
UPI,FRAUD_SUSPECTED,13251,3,4,0.39,23,0,1,0.01
CARD,INSUFFICIENT_FUNDS,48102,2,1,0.01,13,0,0,0.1931545199948726
NETBANKING,BANK_TIMEOUT,22055,1,5,0.19,23,1,0,0.5415194372905898
UPI,INVALID_CARD,32345,1,1,0.36,2,0,0,0.04972874719314593
NETBANKING,INVALID_CARD,46030,3,3,0.49,2,0,0,0.02372156800326921
CARD,NETWORK_ERROR,38890,1,3,0.33,4,0,1,0.6730990938923611
CARD,INVALID_CARD,46022,3,2,0.23,7,0,0,0.01
