payment_method,failure_code,amount,attempt_number,customer_failure_count,merchant_failure_rate,transaction_hour,is_international,previous_success,failure_class
CARD,CARD_DECLINED,5177,3,1,0.14,10,0,0,CUSTOMER_ACTION
CARD,INSUFFICIENT_FUNDS,45578,2,5,0.11,13,1,1,CUSTOMER_ACTION
UPI,ACCOUNT_BLOCKED,13655,4,3,0.45,18,0,1,PERMANENT
CARD,INVALID_CARD,19669,4,3,0.27,23,0,1,PERMANENT
CARD,CARD_DECLINED,31927,1,3,0.17,21,1,0,CUSTOMER_ACTION
NETBANKING,EXPIRED_CARD,35104,1,3,0.3,21,0,0,PERMANENT
CARD,EXPIRED_CARD,12009,1,2,0.2,6,1,1,PERMANENT
CARD,FRAUD_SUSPECTED,49383,4,2,0.42,15,0,0,RISK
NETBANKING,FRAUD_SUSPECTED,4596,1,0,0.48,6,0,0,RISK
CARD,INSUFFICIENT_FUNDS,43973,1,4,0.47,14,1,1,CUSTOMER_ACTION
UPI,INSUFFICIENT_FUNDS,20484,1,4,0.02,9,1,1,CUSTOMER_ACTION
NETBANKING,INSUFFICIENT_FUNDS,45360,2,0,0.35,9,0,0,CUSTOMER_ACTION
NETBANKING,FRAUD_SUSPECTED,24385,1,4,0.33,0,1,1,RISK
CARD,NETWORK_ERROR,41753,4,5,0.08,5,1,1,TRANSIENT
NETBANKING,ACCOUNT_BLOCKED,38928,3,2,0.43,2,1,1,PERMANENT
NETBANKING,CARD_DECLINED,40098,4,2,0.02,10,0,1,CUSTOMER_ACTION
CARD,CARD_DECLINED,22404,3,4,0.35,8,0,0,CUSTOMER_ACTION
NETBANKING,BANK_TIMEOUT,26735,4,4,0.38,22,1,1,TRANSIENT
UPI,INVALID_CARD,19383,2,3,0.35,9,1,1,PERMANENT
NETBANKING,FRAUD_SUSPECTED,36170,3,2,0.35,8,1,1,RISK
NETBANKING,INSUFFICIENT_FUNDS,12721,3,0,0.37,22,0,0,CUSTOMER_ACTION
CARD,CARD_DECLINED,47586,3,0,0.42,9,0,1,CUSTOMER_ACTION
UPI,CARD_DECLINED,46500,2,2,0.03,1,1,0,CUSTOMER_ACTION
UPI,INVALID_CARD,37721,3,3,0.24,10,0,0,PERMANENT
UPI,FRAUD_SUSPECTED,4382,4,3,0.05,20,0,0,RISK
UPI,CARD_DECLINED,16365,1,4,0.38,19,0,1,CUSTOMER_ACTION
CARD,ACCOUNT_BLOCKED,38669,4,2,0.29,1,0,0,PERMANENT
NETBANKING,CARD_DECLINED,5420,2,1,0.1,2,0,0,CUSTOMER_ACTION
NETBANKING,ACCOUNT_BLOCKED,39016,4,2,0.03,9,1,1,PERMANENT
UPI,GATEWAY_TIMEOUT,17437,2,3,0.07,7,0,1,TRANSIENT
UPI,INSUFFICIENT_FUNDS,10973,3,4,0.38,18,1,1,CUSTOMER_ACTION
NETBANKING,NETWORK_ERROR,20028,4,2,0.26,15,1,0,TRANSIENT
NETBANKING,NETWORK_ERROR,21223,3,0,0.05,21,0,1,TRANSIENT
CARD,BANK_TIMEOUT,34110,4,2,0.1,18,1,1,TRANSIENT
CARD,NETWORK_ERROR,26861,3,2,0.34,5,1,1,TRANSIENT
NETBANKING,INVALID_ACCOUNT,26344,1,3,0.05,8,1,0,PERMANENT
NETBANKING,INVALID_CARD,35659,4,3,0.04,16,1,1,PERMANENT
UPI,INVALID_CARD,17601,2,2,0.22,22,1,0,PERMANENT
NETBANKING,GATEWAY_TIMEOUT,15782,2,2,0.28,17,1,0,TRANSIENT
CARD,INSUFFICIENT_FUNDS,7798,2,3,0.47,9,1,1,CUSTOMER_ACTION
UPI,ACCOUNT_BLOCKED,30035,2,3,0.1,19,0,0,PERMANENT
CARD,FRAUD_SUSPECTED,33375,3,0,0.15,9,1,0,RISK
CARD,ACCOUNT_BLOCKED,21886,4,3,0.47,6,0,1,PERMANENT
UPI,CARD_DECLINED,20952,4,5,0.46,12,1,0,CUSTOMER_ACTION
UPI,INVALID_CARD,33018,3,0,0.44,14,0,1,PERMANENT
UPI,GATEWAY_TIMEOUT,26968,2,0,0.24,8,1,1,TRANSIENT
NETBANKING,NETWORK_ERROR,35071,4,2,0.32,15,0,0,TRANSIENT
UPI,CARD_DECLINED,49040,1,3,0.49,20,0,1,CUSTOMER_ACTION
UPI,CARD_DECLINED,3114,3,0,0.15,11,1,0,CUSTOMER_ACTION
NETBANKING,CARD_DECLINED,44782,2,1,0.1,19,1,0,CUSTOMER_ACTION
UPI,EXPIRED_CARD,30321,3,3,0.14,0,1,1,PERMANENT
CARD,INSUFFICIENT_FUNDS,22746,3,5,0.48,22,1,1,CUSTOMER_ACTION
CARD,FRAUD_SUSPECTED,31767,1,1,0.2,11,1,1,RISK
CARD,GATEWAY_TIMEOUT,18088,1,4,0.43,23,0,1,TRANSIENT
NETBANKING,FRAUD_SUSPECTED,23189,2,5,0.1,8,0,0,RISK
CARD,NETWORK_ERROR,2286,3,5,0.07,9,1,1,TRANSIENT
UPI,INSUFFICIENT_FUNDS,35450,3,4,0.26,8,0,1,CUSTOMER_ACTION
NETBANKING,INVALID_ACCOUNT,22298,1,3,0.48,4,0,1,PERMANENT
CARD,FRAUD_SUSPECTED,1012,3,4,0.07,11,1,1,RISK
NETBANKING,FRAUD_SUSPECTED,15423,4,0,0.31,17,1,0,RISK
CARD,GATEWAY_TIMEOUT,46045,3,5,0.21,4,0,0,TRANSIENT
UPI,FRAUD_SUSPECTED,6469,2,4,0.08,14,1,1,RISK
NETBANKING,CARD_DECLINED,6589,4,4,0.21,8,0,1,CUSTOMER_ACTION
CARD,CARD_DECLINED,15573,3,0,0.49,11,1,0,CUSTOMER_ACTION
UPI,INVALID_ACCOUNT,8105,4,0,0.33,20,0,0,PERMANENT
UPI,FRAUD_SUSPECTED,37100,2,0,0.42,17,0,0,RISK
UPI,CARD_DECLINED,39158,1,2,0.43,4,0,1,CUSTOMER_ACTION
NETBANKING,INSUFFICIENT_FUNDS,1789,2,0,0.19,7,1,0,CUSTOMER_ACTION
UPI,CARD_DECLINED,8407,4,4,0.07,2,1,1,CUSTOMER_ACTION
CARD,FRAUD_SUSPECTED,33119,2,4,0.03,21,1,1,RISK
CARD,BANK_TIMEOUT,26420,4,5,0.06,22,1,0,TRANSIENT
NETBANKING,NETWORK_ERROR,9821,1,1,0.14,20,1,1,TRANSIENT
NETBANKING,FRAUD_SUSPECTED,39777,4,0,0.4,3,0,1,RISK
CARD,EXPIRED_CARD,22312,4,3,0.21,3,1,1,PERMANENT
CARD,FRAUD_SUSPECTED,10103,4,0,0.05,2,0,1,RISK
NETBANKING,GATEWAY_TIMEOUT,24521,2,4,0.04,17,1,0,TRANSIENT
NETBANKING,INVALID_ACCOUNT,49270,4,5,0.04,9,1,1,PERMANENT
NETBANKING,GATEWAY_TIMEOUT,14042,2,5,0.25,3,1,1,TRANSIENT
NETBANKING,NETWORK_ERROR,14921,4,4,0.49,19,0,1,TRANSIENT
CARD,BANK_TIMEOUT,46152,3,2,0.18,5,0,1,TRANSIENT
NETBANKING,BANK_TIMEOUT,41595,1,0,0.38,6,1,1,TRANSIENT
UPI,INVALID_ACCOUNT,24351,3,5,0.17,18,0,0,PERMANENT
NETBANKING,INSUFFICIENT_FUNDS,3361,1,2,0.23,13,1,1,CUSTOMER_ACTION
UPI,INVALID_ACCOUNT,49575,1,2,0.22,9,1,1,PERMANENT
CARD,BANK_TIMEOUT,39377,1,0,0.11,6,0,1,TRANSIENT
UPI,FRAUD_SUSPECTED,606,4,5,0.22,4,1,0,RISK
CARD,FRAUD_SUSPECTED,48730,1,3,0.02,2,1,1,RISK
CARD,ACCOUNT_BLOCKED,7648,4,0,0.48,5,1,1,PERMANENT
UPI,NETWORK_ERROR,16045,4,4,0.21,2,1,1,TRANSIENT
CARD,FRAUD_SUSPECTED,11118,1,4,0.32,16,0,1,RISK
UPI,FRAUD_SUSPECTED,6837,2,2,0.11,19,0,0,RISK
CARD,CARD_DECLINED,49543,4,5,0.46,18,1,1,CUSTOMER_ACTION
UPI,CARD_DECLINED,30831,4,5,0.16,8,0,1,CUSTOMER_ACTION
CARD,NETWORK_ERROR,29716,1,0,0.19,9,0,0,TRANSIENT
NETBANKING,ACCOUNT_BLOCKED,36427,1,3,0.46,18,0,1,PERMANENT
UPI,EXPIRED_CARD,29625,1,2,0.49,2,0,0,PERMANENT
CARD,CARD_DECLINED,34445,2,2,0.19,9,1,1,CUSTOMER_ACTION
NETBANKING,FRAUD_SUSPECTED,42521,3,0,0.17,17,1,1,RISK
CARD,FRAUD_SUSPECTED,5441,2,2,0.16,20,1,0,RISK
NETBANKING,NETWORK_ERROR,24786,3,1,0.34,23,0,1,TRANSIENT
CARD,FRAUD_SUSPECTED,20341,2,1,0.18,15,0,0,RISK
UPI,INSUFFICIENT_FUNDS,19485,1,4,0.39,23,0,1,CUSTOMER_ACTION
UPI,CARD_DECLINED,10733,2,5,0.39,5,1,0,CUSTOMER_ACTION
NETBANKING,INVALID_ACCOUNT,47258,2,3,0.31,23,1,0,PERMANENT
CARD,CARD_DECLINED,12815,3,5,0.47,14,1,1,CUSTOMER_ACTION
UPI,ACCOUNT_BLOCKED,13187,2,2,0.04,15,1,0,PERMANENT
UPI,NETWORK_ERROR,10606,3,3,0.45,4,1,0,TRANSIENT
CARD,CARD_DECLINED,1847,4,0,0.2,11,0,1,CUSTOMER_ACTION
UPI,NETWORK_ERROR,1947,3,0,0.42,20,1,0,TRANSIENT
CARD,INSUFFICIENT_FUNDS,31062,2,5,0.24,19,0,0,CUSTOMER_ACTION
UPI,NETWORK_ERROR,9898,4,0,0.39,7,1,0,TRANSIENT
CARD,BANK_TIMEOUT,41974,4,0,0.06,15,0,0,TRANSIENT
CARD,CARD_DECLINED,202,3,1,0.29,5,0,1,CUSTOMER_ACTION
NETBANKING,GATEWAY_TIMEOUT,33348,1,3,0.44,1,1,1,TRANSIENT
CARD,FRAUD_SUSPECTED,4527,3,1,0.37,20,0,1,RISK
CARD,INSUFFICIENT_FUNDS,35883,3,5,0.1,21,1,1,CUSTOMER_ACTION
UPI,INSUFFICIENT_FUNDS,47026,4,0,0.15,1,0,0,CUSTOMER_ACTION
NETBANKING,FRAUD_SUSPECTED,26198,4,2,0.03,20,0,1,RISK
NETBANKING,FRAUD_SUSPECTED,21853,3,0,0.4,13,1,1,RISK
UPI,INVALID_ACCOUNT,32619,4,2,0.46,16,1,0,PERMANENT
CARD,INVALID_CARD,39582,2,4,0.15,3,0,1,PERMANENT
CARD,FRAUD_SUSPECTED,39593,4,1,0.35,11,1,0,RISK
CARD,FRAUD_SUSPECTED,42008,1,0,0.34,12,1,0,RISK
NETBANKING,BANK_TIMEOUT,44539,4,0,0.07,7,1,1,TRANSIENT
NETBANKING,INVALID_CARD,10155,4,2,0.19,2,0,1,PERMANENT
NETBANKING,INVALID_ACCOUNT,18364,2,0,0.02,5,1,1,PERMANENT
CARD,NETWORK_ERROR,46239,4,1,0.5,9,1,0,TRANSIENT
UPI,BANK_TIMEOUT,29725,2,5,0.23,2,1,1,TRANSIENT
NETBANKING,GATEWAY_TIMEOUT,19129,3,1,0.36,22,0,1,TRANSIENT
UPI,INSUFFICIENT_FUNDS,9201,2,3,0.02,17,1,1,CUSTOMER_ACTION
UPI,INSUFFICIENT_FUNDS,20369,4,5,0.36,16,1,1,CUSTOMER_ACTION
CARD,BANK_TIMEOUT,42196,1,3,0.24,16,1,0,TRANSIENT
CARD,INSUFFICIENT_FUNDS,33055,1,0,0.26,9,0,0,CUSTOMER_ACTION
CARD,FRAUD_SUSPECTED,34106,3,0,0.13,20,1,0,RISK
NETBANKING,FRAUD_SUSPECTED,42107,2,4,0.47,4,0,1,RISK
UPI,BANK_TIMEOUT,3079,3,5,0.11,18,1,0,TRANSIENT
NETBANKING,INVALID_ACCOUNT,19898,4,1,0.4,21,1,1,PERMANENT
NETBANKING,INVALID_CARD,4026,2,3,0.21,14,0,1,PERMANENT
NETBANKING,CARD_DECLINED,21026,3,3,0.07,11,0,1,CUSTOMER_ACTION
UPI,CARD_DECLINED,17629,4,1,0.08,1,1,1,CUSTOMER_ACTION
UPI,EXPIRED_CARD,21558,3,1,0.38,15,1,1,PERMANENT
UPI,FRAUD_SUSPECTED,6001,4,4,0.23,7,0,1,RISK
CARD,BANK_TIMEOUT,32533,4,2,0.27,3,1,0,TRANSIENT
CARD,FRAUD_SUSPECTED,24082,1,3,0.04,17,0,1,RISK
CARD,FRAUD_SUSPECTED,33146,4,4,0.15,19,0,0,RISK
CARD,NETWORK_ERROR,22322,3,1,0.11,16,1,0,TRANSIENT
UPI,BANK_TIMEOUT,46865,3,3,0.26,4,0,1,TRANSIENT
CARD,FRAUD_SUSPECTED,40502,3,4,0.17,16,1,1,RISK
CARD,INVALID_CARD,21808,1,3,0.3,23,0,1,PERMANENT
NETBANKING,FRAUD_SUSPECTED,3465,4,1,0.27,23,1,0,RISK
NETBANKING,INSUFFICIENT_FUNDS,46009,1,1,0.02,10,1,0,CUSTOMER_ACTION
CARD,EXPIRED_CARD,32987,4,5,0.37,22,0,0,PERMANENT
NETBANKING,FRAUD_SUSPECTED,24795,3,1,0.24,17,1,1,RISK
UPI,FRAUD_SUSPECTED,16255,3,4,0.16,9,1,0,RISK
CARD,INVALID_ACCOUNT,22959,3,2,0.07,21,1,1,PERMANENT
CARD,FRAUD_SUSPECTED,2856,3,5,0.05,14,1,1,RISK
NETBANKING,INSUFFICIENT_FUNDS,17868,3,1,0.06,23,0,0,CUSTOMER_ACTION
NETBANKING,GATEWAY_TIMEOUT,14889,2,0,0.06,10,1,0,TRANSIENT
NETBANKING,INSUFFICIENT_FUNDS,10450,4,5,0.47,15,1,0,CUSTOMER_ACTION
CARD,FRAUD_SUSPECTED,42429,1,0,0.33,7,0,0,RISK
UPI,EXPIRED_CARD,26117,4,1,0.47,9,0,0,PERMANENT
CARD,FRAUD_SUSPECTED,18749,4,5,0.28,15,0,1,RISK
UPI,FRAUD_SUSPECTED,21771,2,5,0.23,8,0,0,RISK
NETBANKING,FRAUD_SUSPECTED,44297,2,1,0.31,20,1,1,RISK
CARD,FRAUD_SUSPECTED,43960,1,1,0.49,15,1,0,RISK
CARD,NETWORK_ERROR,15535,4,2,0.48,9,0,1,TRANSIENT
UPI,FRAUD_SUSPECTED,43864,1,3,0.16,12,1,0,RISK
NETBANKING,FRAUD_SUSPECTED,14573,2,1,0.24,14,1,1,RISK
UPI,EXPIRED_CARD,44686,1,4,0.23,22,1,0,PERMANENT
NETBANKING,BANK_TIMEOUT,33227,2,4,0.27,5,1,1,TRANSIENT
UPI,GATEWAY_TIMEOUT,47083,4,0,0.45,14,0,1,TRANSIENT
CARD,CARD_DECLINED,37056,1,4,0.24,9,0,1,CUSTOMER_ACTION
NETBANKING,FRAUD_SUSPECTED,14380,1,0,0.22,22,0,0,RISK
UPI,NETWORK_ERROR,18914,4,1,0.39,20,1,1,TRANSIENT
CARD,ACCOUNT_BLOCKED,24718,1,5,0.48,17,0,1,PERMANENT
NETBANKING,BANK_TIMEOUT,25859,2,5,0.49,0,0,1,TRANSIENT
NETBANKING,ACCOUNT_BLOCKED,24956,2,1,0.24,4,1,0,PERMANENT
NETBANKING,BANK_TIMEOUT,27575,1,1,0.11,3,0,1,TRANSIENT
NETBANKING,BANK_TIMEOUT,2999,4,3,0.12,6,0,0,TRANSIENT
NETBANKING,FRAUD_SUSPECTED,37855,3,4,0.3,21,1,0,RISK
NETBANKING,FRAUD_SUSPECTED,34260,2,3,0.16,1,0,1,RISK
CARD,INVALID_CARD,42260,4,4,0.17,13,1,0,PERMANENT
UPI,FRAUD_SUSPECTED,49541,4,1,0.43,9,0,1,RISK
CARD,GATEWAY_TIMEOUT,27396,2,3,0.13,6,1,0,TRANSIENT
UPI,INVALID_ACCOUNT,35203,2,0,0.14,21,0,0,PERMANENT
CARD,INSUFFICIENT_FUNDS,13789,3,2,0.48,0,0,0,CUSTOMER_ACTION
CARD,GATEWAY_TIMEOUT,15998,2,3,0.46,17,1,1,TRANSIENT
NETBANKING,ACCOUNT_BLOCKED,42614,3,2,0.14,16,1,1,PERMANENT
CARD,GATEWAY_TIMEOUT,21086,2,2,0.16,1,0,0,TRANSIENT
NETBANKING,NETWORK_ERROR,38375,4,2,0.08,10,0,1,TRANSIENT
NETBANKING,CARD_DECLINED,43000,3,2,0.38,15,1,1,CUSTOMER_ACTION
UPI,CARD_DECLINED,9272,4,1,0.46,17,0,0,CUSTOMER_ACTION
UPI,GATEWAY_TIMEOUT,518,4,1,0.42,7,0,0,TRANSIENT
NETBANKING,BANK_TIMEOUT,29985,3,0,0.31,21,1,1,TRANSIENT
NETBANKING,BANK_TIMEOUT,36252,4,0,0.02,23,1,1,TRANSIENT
NETBANKING,GATEWAY_TIMEOUT,44273,4,1,0.06,3,0,0,TRANSIENT
CARD,CARD_DECLINED,17619,4,0,0.19,12,1,0,CUSTOMER_ACTION
NETBANKING,CARD_DECLINED,5383,1,0,0.21,12,1,0,CUSTOMER_ACTION
UPI,GATEWAY_TIMEOUT,5518,4,3,0.33,10,0,0,TRANSIENT
NETBANKING,INSUFFICIENT_FUNDS,37244,4,2,0.03,2,1,0,CUSTOMER_ACTION
UPI,CARD_DECLINED,13676,2,5,0.41,2,1,0,CUSTOMER_ACTION
NETBANKING,CARD_DECLINED,35526,3,3,0.38,4,0,1,CUSTOMER_ACTION
CARD,BANK_TIMEOUT,15313,1,2,0.31,19,1,1,TRANSIENT
CARD,GATEWAY_TIMEOUT,29627,4,1,0.18,12,1,0,TRANSIENT
NETBANKING,INVALID_CARD,19457,2,5,0.05,8,0,1,PERMANENT
CARD,CARD_DECLINED,23738,1,0,0.01,9,1,1,CUSTOMER_ACTION
UPI,FRAUD_SUSPECTED,5821,2,3,0.23,17,1,0,RISK
CARD,BANK_TIMEOUT,36421,1,4,0.3,10,1,0,TRANSIENT
CARD,FRAUD_SUSPECTED,5650,2,4,0.27,21,1,0,RISK
CARD,CARD_DECLINED,17690,4,1,0.04,13,1,1,CUSTOMER_ACTION
UPI,FRAUD_SUSPECTED,23766,3,1,0.36,15,0,1,RISK
CARD,BANK_TIMEOUT,543,4,2,0.42,12,1,1,TRANSIENT
NETBANKING,FRAUD_SUSPECTED,39054,2,2,0.17,22,0,1,RISK
CARD,FRAUD_SUSPECTED,21015,3,5,0.35,15,0,1,RISK
CARD,INVALID_ACCOUNT,24021,1,4,0.11,17,0,0,PERMANENT
CARD,EXPIRED_CARD,19192,1,3,0.34,4,1,0,PERMANENT
NETBANKING,FRAUD_SUSPECTED,27830,4,0,0.23,19,1,1,RISK
CARD,INVALID_CARD,46082,1,0,0.39,21,1,0,PERMANENT
NETBANKING,GATEWAY_TIMEOUT,44498,4,2,0.48,13,0,0,TRANSIENT
UPI,NETWORK_ERROR,33567,2,3,0.19,14,0,1,TRANSIENT
UPI,NETWORK_ERROR,19461,4,0,0.07,23,0,1,TRANSIENT
CARD,FRAUD_SUSPECTED,13657,4,2,0.24,14,1,1,RISK
UPI,NETWORK_ERROR,46681,1,0,0.43,20,0,0,TRANSIENT
NETBANKING,INSUFFICIENT_FUNDS,10594,3,4,0.22,14,0,1,CUSTOMER_ACTION
NETBANKING,INSUFFICIENT_FUNDS,43177,4,3,0.02,19,0,1,CUSTOMER_ACTION
UPI,ACCOUNT_BLOCKED,46285,2,1,0.15,22,0,0,PERMANENT
CARD,CARD_DECLINED,13015,4,0,0.14,15,1,1,CUSTOMER_ACTION
CARD,INVALID_CARD,23167,4,4,0.09,21,1,0,PERMANENT
UPI,CARD_DECLINED,15735,3,0,0.1,22,0,1,CUSTOMER_ACTION
NETBANKING,EXPIRED_CARD,25246,4,1,0.25,17,0,0,PERMANENT
UPI,INVALID_ACCOUNT,12361,3,3,0.31,11,0,1,PERMANENT
CARD,INSUFFICIENT_FUNDS,36903,4,3,0.35,13,1,1,CUSTOMER_ACTION
NETBANKING,INSUFFICIENT_FUNDS,2122,2,2,0.03,7,1,0,CUSTOMER_ACTION
NETBANKING,ACCOUNT_BLOCKED,33576,1,4,0.07,17,1,0,PERMANENT
CARD,EXPIRED_CARD,6811,2,2,0.44,1,1,1,PERMANENT
CARD,FRAUD_SUSPECTED,7793,2,1,0.41,18,1,1,RISK
UPI,INSUFFICIENT_FUNDS,13662,1,4,0.18,8,0,1,CUSTOMER_ACTION
NETBANKING,FRAUD_SUSPECTED,17620,1,1,0.48,13,0,1,RISK
UPI,INSUFFICIENT_FUNDS,9684,3,1,0.38,21,1,1,CUSTOMER_ACTION
NETBANKING,CARD_DECLINED,27246,4,3,0.05,2,1,1,CUSTOMER_ACTION
CARD,FRAUD_SUSPECTED,21549,1,5,0.06,14,1,0,RISK
CARD,EXPIRED_CARD,13983,4,2,0.17,9,1,0,PERMANENT
NETBANKING,INVALID_ACCOUNT,3272,1,0,0.32,14,0,0,PERMANENT
CARD,CARD_DECLINED,144,4,1,0.5,4,1,0,CUSTOMER_ACTION
NETBANKING,FRAUD_SUSPECTED,23721,3,0,0.19,20,0,0,RISK
NETBANKING,INVALID_ACCOUNT,45938,2,3,0.33,22,0,0,PERMANENT
UPI,CARD_DECLINED,8796,2,4,0.34,0,0,1,CUSTOMER_ACTION
NETBANKING,NETWORK_ERROR,8762,4,0,0.12,2,0,0,TRANSIENT
CARD,FRAUD_SUSPECTED,9086,4,1,0.32,21,0,0,RISK
NETBANKING,GATEWAY_TIMEOUT,10855,4,2,0.36,20,0,1,TRANSIENT
UPI,EXPIRED_CARD,6684,2,0,0.3,12,1,1,PERMANENT
UPI,FRAUD_SUSPECTED,18251,1,1,0.28,19,1,0,RISK
NETBANKING,FRAUD_SUSPECTED,39875,2,5,0.2,20,0,0,RISK
UPI,ACCOUNT_BLOCKED,15899,4,5,0.3,16,0,1,PERMANENT
CARD,FRAUD_SUSPECTED,37349,4,2,0.28,5,1,0,RISK
UPI,GATEWAY_TIMEOUT,1003,3,1,0.03,1,1,1,TRANSIENT
NETBANKING,ACCOUNT_BLOCKED,26463,1,5,0.27,19,0,1,PERMANENT
UPI,NETWORK_ERROR,33608,2,1,0.27,12,0,1,TRANSIENT
UPI,EXPIRED_CARD,16122,1,3,0.07,19,0,1,PERMANENT
UPI,INSUFFICIENT_FUNDS,46492,2,5,0.02,15,1,1,CUSTOMER_ACTION
UPI,CARD_DECLINED,49237,3,5,0.44,0,1,1,CUSTOMER_ACTION
CARD,FRAUD_SUSPECTED,46782,1,3,0.23,11,0,1,RISK
UPI,CARD_DECLINED,16819,1,4,0.34,3,0,0,CUSTOMER_ACTION
UPI,BANK_TIMEOUT,3113,4,2,0.2,4,0,0,TRANSIENT
CARD,EXPIRED_CARD,16370,4,5,0.17,2,1,0,PERMANENT
UPI,BANK_TIMEOUT,33901,1,3,0.04,14,1,1,TRANSIENT
NETBANKING,FRAUD_SUSPECTED,30033,1,2,0.11,18,1,0,RISK
NETBANKING,INVALID_ACCOUNT,32432,2,5,0.45,7,0,0,PERMANENT
UPI,INVALID_CARD,35590,3,5,0.42,0,1,0,PERMANENT
UPI,INVALID_ACCOUNT,13547,2,3,0.25,1,0,1,PERMANENT
UPI,BANK_TIMEOUT,34162,4,5,0.45,14,0,0,TRANSIENT
UPI,CARD_DECLINED,38890,1,3,0.33,4,0,1,CUSTOMER_ACTION
